Facility Name,Activity Date,Service,Violation Description,Grade,Location
A TOWN PIZZA,9/24/2012,111,"No rodents, insects, birds, or animals",G,"1830 WHIPPLE RD
UNION CITY, CA
(37.605982142176124, -122.05269512117442)"
ADNAN MARKET,8/22/2012,111,Adequate handwashing facilities supplied & accessi,G,"2539 MARKET ST
OAKLAND, CA
(37.81739318513365, -122.27762119967758)"
ADVANTAGE WAYPOINT,7/31/2012,111,Nonfood-contact surfaces clean,G,"2900 COLLIER CANYON RD
LIVERMORE, CA
(37.707487039932914, -121.80512639870364)"
AFC CORP/ SAFEWAY #2708,10/2/2012,111,Nonfood-contact surfaces clean,G,"2227 SOUTH SHORE CTR
ALAMEDA, CA
(37.75711190826785, -122.25327910588419)"
AFC SUSHI @ RALEY'S #314,7/17/2012,111,Plumbing proper backflow devices,G,"6397 JARVIS AVE
NEWARK, CA
(37.54875032287001, -122.05081435706812)"
AFC SUSHI @ SAFEWAY #1224,8/22/2012,111,Demonstration of knowledge food manager certifica,G,"5877 JARVIS AVE
NEWARK, CA
(37.55197018399046, -122.04810647572641)"
AFC SUSHI @ SAFEWAY #309,9/10/2012,111,Signs posted last inspection report available,G,"39100 ARGONAUT WAY
FREMONT, CA
(37.54474326062892, -121.98940626879767)"
AFC SUSHI @ SAFEWAY #993,7/26/2012,111,Signs posted last inspection report available,G,"3902 WASHINGTON BLVD
FREMONT, CA
(37.532658837437, -121.9574355775859)"
AFD CATERING INC,9/24/2012,111,Nonfood-contact surfaces clean,G,"2430 WHIPPLE RD
HAYWARD, CA
(37.6063672709584, -122.06092955671772)"
AGGIE'S HOT DOG AND HAMBURGERS,8/21/2012,111,Proper hot and cold holding temperatures,G,"19600 HESPERIAN BLVD
HAYWARD, CA
(37.668393511319266, -122.11962830557013)"
ALAMEDA CELLARS WINE & LIQUORS,10/3/2012,111,Proper hot and cold holding temperatures,G,"2425 ENCINAL AVE
ALAMEDA, CA
(37.76212085321288, -122.24341998290333)"
ALAMEDA CO FAIR-CARVING STATION #1,8/21/2012,111,Plumbing proper backflow devices,G,"4501 PLEASANTON AVE
PLEASANTON, CA
(37.66171154864156, -121.87999495764291)"
ALAMEDA CO FAIR-EXHIBITION HALL,8/21/2012,111,Hot and cold water available,G,"4501 PLEASANTON AVE
PLEASANTON, CA
(37.66171154864156, -121.87999495764291)"
ALAMEDA COUNTY FAIR-PALM PAVILLION,8/21/2012,111,Food contact surfaces: clean and sanitized,G,"4501 PLEASANTON AVE
PLEASANTON, CA
(37.66171154864156, -121.87999495764291)"
ALAMEDA COUNTY FAIR-SAT WGRING COMM,8/23/2012,111,Adequate handwashing facilities supplied & accessi,G,"4501 PLEASANTON AVE
PLEASANTON, CA
(37.66171154864156, -121.87999495764291)"
ALAMEDA COUNTY FAIR-SAT WGRING SNAC,8/23/2012,111,"Food in good condition, safe and unadulterated",G,"4501 PLEASANTON AVE
PLEASANTON, CA
(37.66171154864156, -121.87999495764291)"
ALAMEDA COUNTY FAIR-WINE GARDEN,8/21/2012,111,Plumbing proper backflow devices,G,"4501 PLEASANTON AVE
PLEASANTON, CA
(37.66171154864156, -121.87999495764291)"
ALAMEDA GROCERY,9/25/2012,111,Proper hot and cold holding temperatures,G,"2001 LINCOLN AVE
ALAMEDA, CA
(37.7709416686286, -122.25103885374388)"
ALAMEDA NATURAL GROCERY,11/7/2012,111,Proper hot and cold holding temperatures,G,"1650 PARK ST
ALAMEDA, CA
(37.7679034938613, -122.23966981004111)"
ALAMEDA PIZZA,10/12/2012,111,Proper hot and cold holding temperatures,G,"1538 WEBSTER ST
ALAMEDA, CA
(37.774398690181734, -122.27667361973118)"
ALAMEDA THEATRE,10/26/2012,111,Adequate handwashing facilities supplied & accessi,G,"2317 CENTRAL AVE
ALAMEDA, CA
(37.76471779278972, -122.24386973405952)"
ALAMEDA WINE COMPANY,9/13/2012,111,"Warewashing facilities: installed, maintained, use",G,"2315 CENTRAL AVE
ALAMEDA, CA
(37.76458499557316, -122.24366279985122)"
ALAMEDA YACHT CLUB,7/13/2012,111,Nonfood-contact surfaces clean,G,"1535 BUENA VISTA AVE
ALAMEDA, CA
(37.7765100056817, -122.25904120655224)"
ALBANY PIZZA,8/27/2012,111,"Warewashing facilities: installed, maintained, use",G,"600 SAN PABLO AVE
ALBANY, CA
(37.895912991511864, -122.30080572159295)"
ALBERTO'S CANTINA,11/20/2012,111,Adequate handwashing facilities supplied & accessi,G,"435 MAIN ST
PLEASANTON, CA
(37.65995787068442, -121.87618183223867)"
ALEM'S COFFEE,8/20/2012,111,Hands clean and properly washed gloves used prope,G,"5353 CLAREMONT AVE
OAKLAND, CA
(37.84031690366055, -122.25967073197273)"
ALL STAR BURGER,10/9/2012,111,Demonstration of knowledge food manager certifica,G,"6950 THORNTON AVE
NEWARK, CA
(37.530617376430484, -122.0364500110802)"
ALL STAR DONUTS,9/17/2012,111,Proper hot and cold holding temperatures,G,"15680 E 14TH ST
SAN LEANDRO, CA
(37.70199303304253, -122.1237992035363)"
ALOHANA HAWAIIAN GRILL,7/2/2012,111,Food contact surfaces: clean and sanitized,G,"15555 E 14TH ST
SAN LEANDRO, CA
(37.70262696326604, -122.12492304842067)"
ALTA BATES SUMMIT MEDICAL CTR,8/29/2012,111,Proper hot and cold holding temperatures,G,"350 HAWTHORNE AVE
OAKLAND, CA
(37.82079792864893, -122.26294055208928)"
AM PM VASCO INVESTMENTS LLC,8/31/2012,111,Hot and cold water available,G,"863 N VASCO RD
LIVERMORE, CA
(37.71154298228504, -121.72428634148986)"
AMADOR HIGH SCHOOL,9/24/2012,111,Personal cleanliness and hair restraints,G,"1155 SANTA RITA RD
PLEASANTON, CA
(37.668291048495895, -121.8732928608856)"
AMAKARA COMPANY INC,10/29/2012,111,Demonstration of knowledge food manager certifica,G,"7222 REGIONAL ST
DUBLIN, CA
(37.70418100987852, -121.93436528247592)"
AMAZONAS PIZZA,8/30/2012,111,Adequate handwashing facilities supplied & accessi,G,"2427 TELEGRAPH AVE
OAKLAND, CA
(37.813939477140785, -122.26854553009638)"
AMBA,10/4/2012,111,Demonstration of knowledge food manager certifica,G,"6464 MORAGA AVE
OAKLAND, CA
(37.82653929017164, -122.21079257968029)"
AMERICANA PIZZA INC,7/31/2012,111,Adequate handwashing facilities supplied & accessi,G,"22530 MAIN ST
HAYWARD, CA
(37.67361124437969, -122.08332760725156)"
AMF SOUTHSHORE LANES,10/29/2012,111,Adequate handwashing facilities supplied & accessi,G,"300 PARK ST
ALAMEDA, CA
(37.75514629429815, -122.2496133595466)"
AMRIT RESTAURANT,9/24/2012,111,Adequate ventilation and lighting designated area,G,"1107 STANFORD AVE
OAKLAND, CA
(37.84070028438035, -122.28324299843642)"
AMY'S DONUT SHOP,9/25/2012,111,"No rodents, insects, birds, or animals",G,"1818 WHIPPLE RD
UNION CITY, CA
(37.60597800162412, -122.05233592828864)"
ANA'S,8/20/2012,111,Adequate handwashing facilities supplied & accessi,G,"444 JACKSON ST
HAYWARD, CA
(37.66262885711143, -122.08431192947955)"
ANDALE MEXICAN RESTAURANT & BAR,9/4/2012,111,Proper hot and cold holding temperatures,G,"1 AIRPORT DR
OAKLAND, CA
(37.716699542063104, -122.20885863744216)"
ANDERSEN BAKERY,8/30/2012,111,Adequate handwashing facilities supplied & accessi,G,"1079 NEWPARK MALL
NEWARK, CA
(37.52816734032678, -122.00025407031308)"
ANGEL FISH,9/20/2012,111,Proper hot and cold holding temperatures,G,"883 ISLAND DR
ALAMEDA, CA
(37.73738889010251, -122.23889111616393)"
ANGELA'S BISTRO & BAR,8/17/2012,111,Proper hot and cold holding temperatures,G,"2301 CENTRAL AVE
ALAMEDA, CA
(37.764804744381664, -122.2440671003714)"
ANGKOR GRILL,10/31/2012,131,Food contact surfaces: clean and sanitized,G,"1319 PARK ST
ALAMEDA, CA
(37.76288860598138, -122.2440184886826)"
ANIKI'S SUSHI,10/25/2012,111,Wiping cloths: properly used and stored,G,"3810 MOWRY AVE
FREMONT, CA
(37.54964265083247, -121.98742145875005)"
ANTOJERIA MEXICANA EL CHILAR,8/14/2012,111,Demonstration of knowledge food manager certifica,G,"365 17TH ST
OAKLAND, CA
(37.80581339373953, -122.26772635466442)"
APPLEBEES,9/19/2012,111,Food contact surfaces: clean and sanitized,G,"4301 N FIRST ST
LIVERMORE, CA
(37.69553475694252, -121.7451679788592)"
ARCO AM/PM,10/31/2012,111,"Food in good condition, safe and unadulterated",G,"785 E STANLEY BLVD
LIVERMORE, CA
(37.67803424347335, -121.78771552421642)"
ARCO AT DAVIS ST,8/6/2012,111,Adequate handwashing facilities supplied & accessi,G,"1156 DAVIS ST
SAN LEANDRO, CA
(37.72163337545379, -122.16863236294671)"
ARENA CLUB LEVEL STELLA LOUNGE,11/28/2012,111,"Equipment, utensils and linens: storage and use",G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
ARENA EVENT LVL COURTSIDE CLUB KITC,10/24/2012,111,Plumbing proper backflow devices,G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
ARENA UC LEVEL #A208,10/29/2012,111,Proper hot and cold holding temperatures,G,"7000 COLISEUM WAY
OAKLAND, CA
(37.746962421079395, -122.20090648279832)"
ARROYO LIQUORS,7/23/2012,111,Adequate ventilation and lighting designated area,G,"15821 CHANNEL ST
SAN LORENZO, CA
(37.67690109771644, -122.14247108511438)"
ART'S BUFFET & BAR,10/15/2012,111,Adequate handwashing facilities supplied & accessi,G,"4031 BROADWAY
OAKLAND, CA
(37.82788636147353, -122.25655822036407)"
ARTEAGAS FOOD CENTER,10/23/2012,111,Adequate handwashing facilities supplied & accessi,G,"5524 THORNTON AVE
NEWARK, CA
(37.54197880707181, -122.02646777697669)"
ASHOKA INDIAN CUISINE,9/4/2012,111,Proper hot and cold holding temperatures,G,"3550 STANLEY BLVD
PLEASANTON, CA
(37.668541802705555, -121.86322860568961)"
ASIA DELIGHT #6,7/16/2012,111,Nonfood-contact surfaces clean,G,"14966 E 14TH ST
SAN LEANDRO, CA
(37.70597195425765, -122.12948791314047)"
ATHENIAN DELI & CAFE,11/1/2012,111,Demonstration of knowledge food manager certifica,G,"2125 FRANKLIN ST
OAKLAND, CA
(37.81021370099743, -122.2667330642552)"
AUNTIE ANNE'S,8/24/2012,111,Equipment/Utensils - approved installed clean g,G,"1212 STONERIDGE MALL DR
PLEASANTON, CA
(37.65803000018451, -121.87721999990293)"
AUNTIE ANNE'S SOFT PRETZELS,8/3/2012,111,Demonstration of knowledge food manager certifica,G,"267 SOUTHLAND MALL
HAYWARD, CA
(37.654688978907096, -122.1016119387222)"
AVOCADO FREDDY'S,9/20/2012,111,"Food in good condition, safe and unadulterated",G,"22872 MAIN ST
HAYWARD, CA
(37.6700932299546, -122.08012108882303)"
AWAKEN CAFE,8/27/2012,111,Adequate handwashing facilities supplied & accessi,G,"150 FRANK H OGAWA PLZ
OAKLAND, CA
(37.804829656384356, -122.2713349386928)"
B & C GAS MINI MART,11/7/2012,111,Hot and cold water available,G,"2008 FIRST ST
LIVERMORE, CA
(37.68099301294973, -121.77097014803087)"
B-SIDE BBQ,8/14/2012,111,Equipment/Utensils - approved installed clean g,G,"3301 SAN PABLO AVE
OAKLAND, CA
(37.82448948450056, -122.27790207420638)"
BA VO,9/25/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"416 13TH ST
OAKLAND, CA
(37.803278481650736, -122.27059242751382)"
BABY NUTRITIONAL CARE,11/8/2012,111,Adequate handwashing facilities supplied & accessi,G,"2630 INTERNATIONAL BLVD
OAKLAND, CA
(37.78124346770401, -122.23218964898113)"
BABY NUTRITIONAL CARE #20,9/17/2012,111,Hot and cold water available,G,"213 W WINTON AVE
HAYWARD, CA
(37.65864486052163, -122.09575130569226)"
BABY NUTRITIONAL CARE #9,9/6/2012,111,Adequate handwashing facilities supplied & accessi,G,"900 MARKET ST
OAKLAND, CA
(37.803759463169456, -122.28248653185608)"
BACI CAFE,9/6/2012,111,Adequate handwashing facilities supplied & accessi,G,"500 MAIN ST
PLEASANTON, CA
(37.66061437576582, -121.87575015766458)"
BAGEL BAKERY,10/24/2012,111,Adequate handwashing facilities supplied & accessi,G,"7168 REGIONAL ST
DUBLIN, CA
(37.70365460061868, -121.93411233257184)"
BAGEL STREET CAFE,11/29/2012,111,Proper hot and cold holding temperatures,G,"501 14TH ST
OAKLAND, CA
(37.804810926045086, -122.27250555490612)"
BAJA FRESH MEXICAN GRILL #453,7/5/2012,111,Proper hot and cold holding temperatures,G,"2457 STONERIDGE MALL RD
PLEASANTON, CA
(37.65803000018451, -121.87721999990293)"
BAJA TAQUERIA,10/31/2012,111,Demonstration of knowledge food manager certifica,G,"4070 PIEDMONT AVE
OAKLAND, CA
(37.826212017379326, -122.25256969412052)"
BAKERY-TAQUERIA UNO,11/2/2012,131,Adequate handwashing facilities supplied & accessi,G,"36601 NEWARK BLVD
NEWARK, CA
(37.53842349164478, -122.03290668228476)"
BALLY TOTAL FITNESS,11/29/2012,111,Nonfood-contact surfaces clean,G,"567 FLORESTA AVE
SAN LEANDRO, CA
(37.70111466948392, -122.14412669260304)"
BANCROFT FOOD MART,11/14/2012,111,Nonfood-contact surfaces clean,G,"1786 BANCROFT AVE
SAN LEANDRO, CA
(37.722758897850284, -122.14587947250173)"
BANCROFT MIDDLE SCHOOL,10/16/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"1250 BANCROFT AVE
SAN LEANDRO, CA
(37.7275182412018, -122.14795153465587)"
BANCROFT SHELL,10/16/2012,111,Adequate handwashing facilities supplied & accessi,G,"1285 BANCROFT AVE
SAN LEANDRO, CA
(37.72733507711956, -122.14798392915401)"
BANH CUON TAY HO,10/31/2012,111,Proper hot and cold holding temperatures,G,"344 12TH ST
OAKLAND, CA
(37.80199758369719, -122.26949381904217)"
"BANSAL, INC. ETD",10/31/2012,111,Nonfood-contact surfaces clean,G,"809 E STANLEY BLVD
LIVERMORE, CA
(37.67810618923568, -121.78725686998149)"
BARA'S GROCERY,11/19/2012,111,Food contact surfaces: clean and sanitized,G,"14799 WASHINGTON AVE
SAN LEANDRO, CA
(37.69680309422483, -122.13927849191037)"
BARBARA LEWELLYN & CO.,10/15/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"434 25TH ST
OAKLAND, CA
(37.81431750379346, -122.2660289387199)"
BARNES & NOBLE BOOKSELLERS INC,11/15/2012,111,Personal cleanliness and hair restraints,G,"5604 BAY ST
EMERYVILLE, CA
(37.83381598580992, -122.29203997403651)"
BARONE'S RESTAURANT,9/18/2012,111,Proper hot and cold holding temperatures,G,"475 ST JOHN ST
PLEASANTON, CA
(37.66395086049448, -121.87538143563256)"
BASIL AND THYME ITALIAN BISTRO,11/19/2012,111,Food contact surfaces: clean and sanitized,G,"5498 CENTRAL AVE
NEWARK, CA
(37.537929099187124, -122.01820131023318)"
BASIL LEAF ASIAN CUISINE,10/4/2012,111,Signs posted last inspection report available,G,"3241 WALNUT AVE
FREMONT, CA
(37.55106973279554, -121.97857516187017)"
BASKIN ROBBINS,9/19/2012,111,"Equipment, utensils and linens: storage and use",G,"4323 FIRST ST
LIVERMORE, CA
(37.69578802603528, -121.74483239731128)"
BASKIN ROBBINS ICE CREAM,11/5/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"3850 MOWRY AVE
FREMONT, CA
(37.54942402250433, -121.98759490389038)"
BASKIN-ROBBINS,7/2/2012,111,Premises personal/cleaning items vermin-proofing,G,"1199 40TH ST
EMERYVILLE, CA
(37.830738145922375, -122.2809874932811)"
BASKIN-ROBBINS ICE CREAM,10/16/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"100 PELTON CENTER WAY
SAN LEANDRO, CA
(37.7227665212107, -122.15398240708942)"
"BASKIN-ROBBINS, #2028",10/2/2012,111,Hands clean and properly washed gloves used prope,G,"7225 REGIONAL ST
DUBLIN, CA
(37.70423947021021, -121.93424511097191)"
BAY WOLF RESTAURANT,10/8/2012,111,Adequate handwashing facilities supplied & accessi,G,"3853 PIEDMONT AVE
OAKLAND, CA
(37.82453380204629, -122.25493130487837)"
BAYFAIR SHELL MINI MART,11/20/2012,111,Signs posted last inspection report available,G,"1784 150TH AVE
SAN LEANDRO, CA
(37.70937561619445, -122.1246105496125)"
BEANERY OF ALAMEDA,7/31/2012,111,Adequate handwashing facilities supplied & accessi,G,"1650 PARK ST
ALAMEDA, CA
(37.7679034938613, -122.23966981004111)"
BEAUTY'S BAGEL SHOP,11/1/2012,111,Personal cleanliness and hair restraints,G,"3838 TELEGRAPH AVE
OAKLAND, CA
(37.82778934779236, -122.2647878743195)"
BED BATH AND BEYOND #1152,9/17/2012,111,Food storage food storage containers identified,G,"2246 SOUTH SHORE CTR
ALAMEDA, CA
(37.756799774983435, -122.25294243306674)"
BEE HEALTH HONEY SHOP,11/26/2012,111,Adequate handwashing facilities supplied & accessi,G,"2950 TELEGRAPH AVE
OAKLAND, CA
(37.8190389444473, -122.26712611159564)"
BEIJING CUISINE,11/1/2012,111,Proper hot and cold holding temperatures,G,"7265 REGIONAL ST
DUBLIN, CA
(37.704635588168436, -121.93436740152409)"
BELLA,10/25/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"561 11TH ST
OAKLAND, CA
(37.80328282249394, -122.27519303019847)"
BELLA VISTA CHILD DEVELOPMENT CTR,10/24/2012,111,Adequate handwashing facilities supplied & accessi,G,"2410 10th AVE
OAKLAND, CA
(37.79884017166921, -122.24011947105578)"
BELLA VISTA SCHOOL CAFE,11/5/2012,111,Adequate handwashing facilities supplied & accessi,G,"1025 E 28TH ST
OAKLAND, CA
(37.800360025898726, -122.2371337219185)"
BENCH AND BAR,9/27/2012,111,Adequate handwashing facilities supplied & accessi,G,"510 17TH ST
OAKLAND, CA
(37.806925076712616, -122.27086729123755)"
BEST FRIED CHICKEN,10/9/2012,111,Hands clean and properly washed gloves used prope,G,"3112 MARKET ST
OAKLAND, CA
(37.821718924094625, -122.27611933188865)"
BEST WESTERN AIRPORT INN & SUITES,11/5/2012,111,Proper hot and cold holding temperatures,G,"170 HEGENBERGER LOOP
OAKLAND, CA
(37.73586064995732, -122.19532424077636)"
BETTER BUY LIQUOR STORE,10/17/2012,111,"No rodents, insects, birds, or animals",G,"1801 WEBSTER ST
ALAMEDA, CA
(37.777337381948655, -122.27666791832655)"
BEYOND THAI,9/28/2012,131,Proper hot and cold holding temperatures,G,"46535 MISSION BLVD
FREMONT, CA
(37.491888618328076, -121.92715232514935)"
BIG APPLE BAGELS,8/2/2012,111,Adequate handwashing facilities supplied & accessi,G,"20665 RUSTIC DR
CASTRO VALLEY, CA
(37.695940385022986, -122.07791887941367)"
BIG LOTS,11/14/2012,111,Nonfood-contact surfaces clean,G,"20800 MISSION BLVD
HAYWARD, CA
(37.684750435457616, -122.09942190141736)"
BIJOU RESTAURANT & BAR,9/24/2012,111,Demonstration of knowledge food manager certifica,G,"1036 B ST
HAYWARD, CA
(37.67330380959925, -122.08203664474541)"
BIMBO BAKERY,11/29/2012,111,Premises personal/cleaning items vermin-proofing,G,"14388 WASHINGTON AVE
SAN LEANDRO, CA
(37.704420351812985, -122.14282182070582)"
BINGO SNACK BAR,11/26/2012,111,Hot and cold water available,G,"10800 INTERNATIONAL BLVD
OAKLAND, CA
(37.73753850007036, -122.16537220178745)"
BISMILLAH RESTAURANT,10/16/2012,111,Adequate handwashing facilities supplied & accessi,G,"37415 FREMONT BLVD
FREMONT, CA
(37.55767674109882, -122.0060746500863)"
BIT OF IRELAND BAKERY,8/22/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"1268 DAVIS ST
SAN LEANDRO, CA
(37.72131165833464, -122.17009768335923)"
BIZZ NET,11/21/2012,111,Adequate handwashing facilities supplied & accessi,G,"2150 WASHINGTON AVE
SAN LEANDRO, CA
(37.71719072462906, -122.15123947490008)"
BJ'S RESTAURANT & BREWHOUSE,8/2/2012,111,Proper hot and cold holding temperatures,G,"5699 MOWRY AVE
NEWARK, CA
(37.52796437644406, -122.0053784349679)"
BJ'S RESTAURANT INC,9/12/2012,111,Equipment/Utensils - approved installed clean g,G,"3620 FALLON RD
DUBLIN, CA
(37.704059999569495, -121.91646000002885)"
BLACKBERRY BISTRO,9/19/2012,111,Adequate handwashing facilities supplied & accessi,G,"4240 PARK BLVD
OAKLAND, CA
(37.80741240641, -122.2220987273732)"
BLOCKBUSTER LLC #6391,10/15/2012,111,Adequate handwashing facilities supplied & accessi,G,"3300 LAKESHORE AVE
OAKLAND, CA
(37.81072021567627, -122.24408548120499)"
BLOCKBUSTER LLC #6477,8/27/2012,111,Thermometers provided and accurate,G,"2202 SOUTH SHORE CTR
ALAMEDA, CA
(37.75726933986309, -122.25386395434452)"
BLOCKBUSTER VIDEO #6389,8/8/2012,111,Adequate handwashing facilities supplied & accessi,G,"265 DAVIS ST
SAN LEANDRO, CA
(37.725441138488485, -122.1576127708029)"
